Date,Time,NUMEROABASTECIM,USUARIO,CONSUMO
01-06-23,00:26:48,1272,"P18",20272
01-06-23,00:48:30,1273,"P18",22704
01-06-23,01:25:23,1274,"P22",6356
01-06-23,01:28:56,1275,"P22",6000
01-06-23,04:11:28,1276,"P22",20296
01-06-23,06:17:35,1277,"P22",14295
01-06-23,06:20:19,1278,"P23",10410
01-06-23,07:04:35,1279,"P23",35363
01-06-23,09:04:43,1280,"P23",15296
01-06-23,10:48:19,1281,"P23",19062
01-06-23,11:04:36,1282,"P23",20249
01-06-23,15:02:05,1283,"P21",11159
01-06-23,16:09:27,1284,"P16",20322
01-06-23,17:33:55,1285,"P21",17873
01-06-23,18:43:04,1286,"P16",18584
01-06-23,19:42:41,1287,"P16",16235
01-06-23,19:45:11,1288,"P16",10242
01-06-23,20:11:45,1289,"P21",14100
01-06-23,22:49:59,1290,"P16",16082
01-06-23,22:54:01,1291,"P22",9728
01-06-23,23:05:36,1292,"P22",21695
02-06-23,01:13:56,1293,"P22",15065
02-06-23,01:20:10,1294,"P22",20196
02-06-23,01:54:50,1295,"P18",17338
02-06-23,04:51:09,1296,"P22",8643
02-06-23,06:36:43,1297,"P23",60189
02-06-23,11:04:35,1298,"P23",20004
02-06-23,12:52:32,1299,"P23",20122
02-06-23,13:03:53,1300,"P23",17253
02-06-23,13:32:35,1301,"P23",15515
02-06-23,14:17:57,1302,"P21",18917
02-06-23,16:03:20,1303,"P16",23238
02-06-23,18:56:24,1304,"P16",24487
02-06-23,20:34:10,1305,"P16",17448
02-06-23,21:32:39,1306,"P16",13787
02-06-23,22:15:58,1307,"P22",8558
02-06-23,22:21:12,1308,"P22",14489
02-06-23,22:25:59,1309,"P22",18349
02-06-23,22:30:24,1310,"P22",18300
02-06-23,22:36:40,1311,"P22",15002
02-06-23,22:41:33,1312,"P18",15995
03-06-23,05:59:24,1313,"P23",17551
03-06-23,06:36:06,1314,"P23",10070
03-06-23,09:06:14,1315,"P23",18612
03-06-23,09:30:24,1316,"P23",20128
03-06-23,13:08:29,1317,"P23",19085
03-06-23,14:15:49,1318,"P21",15749
03-06-23,14:35:03,1319,"P21",16292
03-06-23,14:50:44,1320,"P21",28305
03-06-23,15:48:27,1321,"P16",20234
03-06-23,19:46:14,1322,"P16",17301
03-06-23,22:43:22,1323,"P18",18291
03-06-23,22:52:28,1324,"P22",13060
03-06-23,23:29:29,1325,"P18",19966
04-06-23,03:13:38,1326,"P18",16906
04-06-23,04:36:08,1327,"P18",10522
05-06-23,06:20:00,1328,"P23",38708
05-06-23,06:47:04,1329,"P23",32038
05-06-23,06:54:29,1330,"P23",10283
05-06-23,12:51:50,1331,"P23",11249
05-06-23,14:07:53,1332,"P21",4188
05-06-23,20:42:02,1333,"P16",13514
05-06-23,20:50:58,1334,"P21",12247
05-06-23,20:58:52,1335,"P16",17336
05-06-23,22:19:23,1336,"P18",18895
05-06-23,22:25:16,1337,"P18",20075
05-06-23,22:41:58,1338,"P22",17363
06-06-23,00:08:38,1339,"P18",20203
06-06-23,01:54:10,1340,"P18",13123
06-06-23,03:14:05,1341,"P18",16192
06-06-23,03:29:17,1342,"P18",20714
06-06-23,06:05:50,1343,"P23",3841
06-06-23,06:09:40,1344,"P23",13455
06-06-23,06:22:45,1345,"P23",17201
06-06-23,06:24:56,1346,"P23",5787
06-06-23,06:42:46,1347,"P23",8396
06-06-23,07:32:41,1348,"P23",9919
06-06-23,07:38:13,1349,"P23",8684
06-06-23,13:54:20,1350,"P23",20320
06-06-23,15:56:21,1351,"P21",39308
06-06-23,18:42:01,1352,"P16",20204
06-06-23,19:51:32,1353,"P21",13419
06-06-23,19:57:04,1354,"P16",18169
06-06-23,20:41:09,1355,"P21",17924
06-06-23,23:01:46,1356,"P18",15095
06-06-23,23:07:40,1357,"P18",13938
06-06-23,23:36:04,1358,"P18",20365
07-06-23,03:15:16,1359,"P18",14228
07-06-23,05:31:52,1360,"P22",14372
07-06-23,06:06:52,1361,"P23",10333
07-06-23,06:24:10,1362,"P23",12103
07-06-23,07:41:08,1363,"P23",13647
07-06-23,07:44:03,1364,"P23",7680
07-06-23,08:48:29,1365,"P19",16867
07-06-23,09:04:12,1366,"P23",23421
07-06-23,09:24:49,1367,"P23",18846
07-06-23,14:08:40,1368,"P16",16148
07-06-23,14:15:08,1369,"P16",14329
07-06-23,14:27:32,1370,"P21",21608
07-06-23,15:57:05,1371,"P21",12592
07-06-23,18:23:00,1372,"P21",34
07-06-23,18:26:03,1373,"P21",16632
07-06-23,19:40:42,1374,"P16",16022
07-06-23,19:53:59,1375,"P16",15637
07-06-23,20:13:57,1376,"P21",8066
07-06-23,20:17:37,1377,"P21",12543
07-06-23,21:15:14,1378,"P16",7007
07-06-23,21:18:18,1379,"P16",12684
07-06-23,22:16:57,1380,"P18",2964
07-06-23,23:20:07,1381,"P18",13542
08-06-23,00:04:14,1382,"P18",35589
08-06-23,03:31:36,1383,"P22",17997
08-06-23,03:35:07,1384,"P18",20105
08-06-23,06:01:57,1385,"P23",13409
08-06-23,06:24:21,1386,"P23",14393
08-06-23,06:31:29,1387,"P23",37004
08-06-23,06:35:58,1388,"P23",5859
08-06-23,08:32:11,1389,"P23",16118
08-06-23,12:05:30,1390,"P23",83
08-06-23,12:12:58,1391,"P23",36489
08-06-23,14:15:05,1392,"P16",9849
08-06-23,15:12:20,1393,"P21",14038
08-06-23,15:35:28,1394,"P16",636
08-06-23,15:40:47,1395,"P16",23167
08-06-23,15:46:07,1396,"P16",23694
08-06-23,16:04:29,1397,"P16",20430
08-06-23,17:03:09,1398,"P21",432
08-06-23,17:06:04,1399,"P21",18394
08-06-23,19:42:17,1400,"P16",16962
08-06-23,19:45:18,1401,"P20",18535
08-06-23,20:45:26,1402,"P21",15620
08-06-23,21:44:05,1403,"P16",9201
08-06-23,22:50:59,1404,"P18",20582
09-06-23,00:40:48,1405,"P18",16263
09-06-23,01:37:14,1406,"P22",27975
09-06-23,03:23:22,1407,"P18",20107
09-06-23,03:53:52,1408,"P22",14802
09-06-23,06:18:07,1409,"P23",13043
09-06-23,06:20:49,1410,"P23",6205
09-06-23,06:23:54,1411,"P23",13016
09-06-23,07:20:02,1412,"P23",6997
09-06-23,07:37:50,1413,"P23",21886
09-06-23,08:48:38,1414,"P23",15124
09-06-23,08:52:19,1415,"P23",18788
09-06-23,08:54:08,1416,"P23",7442
09-06-23,10:23:00,1417,"P23",5995
09-06-23,10:26:22,1418,"P23",14901
09-06-23,10:56:11,1419,"P23",20208
09-06-23,11:07:05,1420,"P23",20030
09-06-23,11:20:02,1421,"P23",12214
09-06-23,11:38:29,1422,"P23",14303
09-06-23,16:07:34,1423,"P16",17891
09-06-23,17:18:19,1424,"P16",12570
09-06-23,17:29:37,1425,"P16",14189
09-06-23,18:12:31,1426,"P16",20101
09-06-23,19:56:36,1427,"P16",21850
09-06-23,20:38:47,1428,"P16",19180
09-06-23,23:10:37,1429,"P18",9687
10-06-23,00:49:45,1430,"P18",15171
10-06-23,00:55:49,1431,"P22",11594
10-06-23,03:33:45,1432,"P18",20340
10-06-23,04:28:31,1433,"P18",16566
10-06-23,06:18:37,1434,"P23",11991
10-06-23,06:40:48,1435,"P23",17984
10-06-23,07:00:39,1436,"P23",18533
10-06-23,07:36:20,1437,"P23",20091
10-06-23,07:40:29,1438,"P23",20247
10-06-23,07:44:05,1439,"P23",20831
10-06-23,08:08:25,1440,"P23",16107
10-06-23,08:54:12,1441,"P23",12812
10-06-23,08:56:02,1442,"P23",16547
10-06-23,14:06:31,1443,"P21",13541
10-06-23,16:52:28,1444,"P21",14354
10-06-23,17:00:21,1445,"P21",15713
10-06-23,18:58:06,1446,"P21",17513
12-06-23,11:18:46,1447,"P23",36191
12-06-23,11:26:47,1448,"P23",29399
12-06-23,11:54:20,1449,"P23",12995
12-06-23,12:20:49,1450,"P23",288
12-06-23,12:23:57,1451,"P23",19622
12-06-23,12:27:58,1452,"P23",15493
12-06-23,14:24:08,1453,"P16",15141
12-06-23,14:27:09,1454,"P16",10733
12-06-23,14:33:43,1455,"P16",18315
12-06-23,15:57:55,1456,"P21",16253
12-06-23,16:11:02,1457,"P21",8059
12-06-23,18:38:19,1458,"P16",14933
12-06-23,20:44:28,1459,"P21",14839
12-06-23,21:23:47,1460,"P16",8151
12-06-23,22:22:09,1461,"P22",13427
12-06-23,22:41:32,1462,"P22",9408
13-06-23,03:20:55,1463,"P18",15053
13-06-23,03:26:41,1464,"P18",220
13-06-23,03:35:28,1465,"P18",19056
13-06-23,04:56:48,1466,"P18",12673
13-06-23,06:11:46,1467,"P17",14968
13-06-23,06:17:37,1468,"P17",9681
13-06-23,06:23:21,1469,"P17",20314
13-06-23,06:26:52,1470,"P17",15078
13-06-23,06:35:44,1471,"P17",17383
13-06-23,08:52:29,1472,"P17",20210
13-06-23,09:09:46,1473,"P17",14010
13-06-23,10:44:30,1474,"P17",18047
13-06-23,11:17:44,1475,"P17",19600
13-06-23,14:12:36,1476,"P21",14889
13-06-23,16:21:56,1477,"P16",15722
13-06-23,18:20:02,1478,"P21",13989
13-06-23,18:38:24,1479,"P16",15442
13-06-23,18:45:03,1480,"P20",13131
13-06-23,19:59:22,1481,"P16",13854
13-06-23,20:13:14,1482,"P16",17982
13-06-23,20:32:48,1483,"P16",14212
13-06-23,20:43:05,1484,"P21",12707
13-06-23,21:10:32,1485,"P21",20196
13-06-23,22:27:34,1486,"P18",20144
13-06-23,23:09:18,1487,"P18",15747
13-06-23,23:41:41,1488,"P18",20034
14-06-23,00:16:20,1489,"P18",12170
14-06-23,01:01:55,1490,"P22",13128
14-06-23,03:29:32,1491,"P22",10343
14-06-23,05:29:35,1492,"P22",14483
14-06-23,06:06:25,1493,"P23",14288
14-06-23,06:19:18,1494,"P17",16793
14-06-23,06:31:22,1495,"P17",18469
14-06-23,07:05:20,1496,"P17",20144
14-06-23,07:26:58,1497,"P23",3635
14-06-23,09:15:06,1498,"P23",14310
14-06-23,11:11:50,1499,"P23",18882
14-06-23,12:40:58,1500,"P23",24041
14-06-23,13:31:50,1501,"P23",31361
14-06-23,14:03:08,1502,"P21",20043
14-06-23,14:17:50,1503,"P21",14607
14-06-23,16:43:27,1504,"P16",7582
14-06-23,16:51:52,1505,"P16",16215
14-06-23,18:00:00,1506,"P21",15111
14-06-23,19:31:15,1507,"P16",9698
14-06-23,22:20:33,1508,"P18",35816
14-06-23,22:42:23,1509,"P22",13513
14-06-23,23:35:09,1510,"P18",19975
15-06-23,00:19:51,1511,"P22",27106
15-06-23,03:12:58,1512,"P22",14626
15-06-23,03:20:22,1513,"P18",16615
15-06-23,06:14:00,1514,"P23",17090
15-06-23,06:19:07,1515,"P23",15774
15-06-23,07:07:58,1516,"P23",19762
15-06-23,11:02:18,1517,"P23",20320
15-06-23,12:33:58,1518,"P23",20130
15-06-23,12:45:32,1519,"P23",10888
15-06-23,13:31:03,1520,"P23",19223
15-06-23,14:10:57,1521,"P21",22994
15-06-23,14:37:29,1522,"P16",20245
15-06-23,16:46:30,1523,"P16",15951
15-06-23,18:49:53,1524,"P21",11830
15-06-23,20:04:18,1525,"P16",12597
15-06-23,20:07:54,1526,"P16",12502
15-06-23,20:25:11,1527,"P16",7157
15-06-23,20:30:45,1528,"P16",10521
15-06-23,20:36:48,1529,"P16",8712
15-06-23,22:07:55,1530,"P18",26848
15-06-23,22:16:00,1531,"P18",11057
15-06-23,22:36:00,1532,"P22",15703
15-06-23,22:44:47,1533,"P22",9380
15-06-23,22:50:42,1534,"P18",20236
16-06-23,03:17:56,1535,"P18",11269
16-06-23,06:05:08,1536,"P23",17243
16-06-23,06:16:13,1537,"P23",11830
16-06-23,06:55:08,1538,"P23",18945
16-06-23,06:58:31,1539,"P23",20170
16-06-23,09:10:53,1540,"P23",17754
16-06-23,10:46:02,1541,"P23",17631
16-06-23,10:54:23,1542,"P23",15787
16-06-23,11:06:52,1543,"P23",19559
16-06-23,14:55:43,1544,"P21",14624
16-06-23,18:03:45,1545,"P16",19434
16-06-23,18:05:58,1546,"P21",13274
16-06-23,19:35:08,1547,"P16",11304
16-06-23,20:01:22,1548,"P16",3663
16-06-23,20:57:37,1549,"P16",8347
16-06-23,21:21:32,1550,"P21",17390
16-06-23,22:30:24,1551,"P18",35548
17-06-23,00:04:20,1552,"P18",20135
17-06-23,00:25:32,1553,"P18",13715
17-06-23,03:50:24,1554,"P18",18433
17-06-23,04:05:13,1555,"P18",610
17-06-23,04:12:42,1556,"P18",19581
17-06-23,06:08:29,1557,"P23",49250
17-06-23,06:26:33,1558,"P23",16938
17-06-23,08:07:37,1559,"P23",19355
17-06-23,12:42:02,1560,"P23",17842
17-06-23,14:06:59,1561,"P16",13404
17-06-23,14:20:16,1562,"P21",13684
17-06-23,16:41:26,1563,"P21",13001
17-06-23,17:02:34,1564,"P16",19785
17-06-23,18:36:05,1565,"P16",22984
17-06-23,19:58:46,1566,"P18",9350
17-06-23,22:13:43,1567,"P18",20211
17-06-23,22:18:36,1568,"P22",20089
17-06-23,22:27:02,1569,"P22",13306
17-06-23,22:40:52,1570,"P18",27958
18-06-23,00:57:17,1571,"P18",20126
18-06-23,03:52:59,1572,"P22",20374
18-06-23,05:06:14,1573,"P22",15937
19-06-23,06:15:11,1574,"P23",3595
19-06-23,06:35:00,1575,"P23",1891
19-06-23,06:42:18,1576,"P23",12822
19-06-23,06:49:39,1577,"P23",18484
19-06-23,07:14:32,1578,"P23",22480
19-06-23,07:17:22,1579,"P23",20065
19-06-23,07:28:47,1580,"P23",20364
19-06-23,13:27:48,1581,"P23",32860
19-06-23,14:03:17,1582,"P21",16010
19-06-23,15:22:16,1583,"P16",16022
19-06-23,17:52:17,1584,"P21",13054
19-06-23,18:15:58,1585,"P21",14149
19-06-23,18:43:10,1586,"P16",10888
19-06-23,20:52:54,1587,"P16",14008
19-06-23,22:14:04,1588,"P18",14719
19-06-23,22:23:41,1589,"P18",20051
19-06-23,22:29:18,1590,"P18",15051
20-06-23,03:57:52,1591,"P22",12662
20-06-23,04:01:42,1592,"P22",16802
20-06-23,04:35:01,1593,"P22",5703
20-06-23,06:03:47,1594,"P23",16701
20-06-23,06:20:26,1595,"P23",13675
20-06-23,06:30:41,1596,"P23",47422
20-06-23,09:32:34,1597,"P23",16310
20-06-23,11:06:00,1598,"P23",20035
