Date,Time,NUMERO_ABASTECIM,USUARIO,CONSUMO
01-08-23,00:24:58,2296,"P18",22130
01-08-23,00:26:41,2297,"P18",15004
01-08-23,00:33:33,2298,"P22",16880
01-08-23,00:45:48,2299,"P22",18725
01-08-23,03:11:59,2300,"P18",40449
01-08-23,06:11:48,2301,"P23",16690
01-08-23,07:31:54,2302,"P23",15285
01-08-23,08:53:20,2303,"P23",1221
01-08-23,09:57:34,2304,"P23",1648
01-08-23,10:40:11,2305,"P23",14136
01-08-23,11:11:09,2306,"P23",20086
01-08-23,11:35:14,2307,"P23",16159
01-08-23,14:11:57,2308,"P21",17602
01-08-23,14:15:06,2309,"P21",15294
01-08-23,14:18:36,2310,"P21",14350
01-08-23,18:05:04,2311,"P21",13100
01-08-23,19:48:35,2312,"P16",1885
01-08-23,20:01:05,2313,"P16",8348
01-08-23,21:01:43,2314,"P21",11216
01-08-23,21:09:27,2315,"P21",30828
01-08-23,22:25:33,2316,"P18",1001
02-08-23,09:03:31,2317,"P23",27913
02-08-23,10:33:24,2318,"P23",321
02-08-23,16:57:25,2319,"P21",7972
02-08-23,18:44:59,2320,"P21",4528
03-08-23,11:23:35,2321,"P23",8246
03-08-23,12:18:23,2322,"P23",8759
03-08-23,15:28:33,2323,"P21",2035
03-08-23,17:13:51,2324,"P16",2421
03-08-23,17:59:50,2325,"P21",13970
03-08-23,20:31:33,2326,"P16",6774
03-08-23,20:33:05,2327,"P21",12916
03-08-23,21:01:01,2328,"P21",18644
03-08-23,22:33:21,2329,"P22",48497
03-08-23,23:35:28,2330,"P22",18408
04-08-23,03:26:51,2331,"P22",14742
04-08-23,03:28:55,2332,"P22",10418
04-08-23,03:32:46,2333,"P22",13816
04-08-23,04:19:35,2334,"P22",20115
04-08-23,04:51:02,2335,"P22",19402
04-08-23,06:13:41,2336,"P23",13563
04-08-23,09:25:01,2337,"P23",15664
04-08-23,10:04:49,2338,"P23",12769
04-08-23,12:54:22,2339,"P23",20239
04-08-23,14:07:37,2340,"P21",16986
04-08-23,14:11:42,2341,"P21",13217
04-08-23,14:45:19,2342,"P21",3772
04-08-23,16:37:14,2343,"P16",17371
04-08-23,17:05:08,2344,"P16",16483
04-08-23,19:56:23,2345,"P16",10965
04-08-23,19:57:40,2346,"P16",10097
04-08-23,20:26:27,2347,"P21",18984
04-08-23,23:54:31,2348,"P22",15185
05-08-23,00:06:09,2349,"P22",48671
05-08-23,01:06:59,2350,"P22",18677
05-08-23,01:09:40,2351,"P22",14726
05-08-23,03:34:42,2352,"P22",20320
05-08-23,03:44:13,2353,"P22",9341
05-08-23,06:19:30,2354,"P23",11978
05-08-23,10:00:15,2355,"P23",1462
05-08-23,10:02:12,2356,"P23",9318
05-08-23,11:12:16,2357,"P23",20152
05-08-23,11:26:41,2358,"P23",23773
05-08-23,11:36:17,2359,"P23",38518
05-08-23,15:04:22,2360,"P16",1943
05-08-23,15:09:10,2361,"P16",1813
05-08-23,15:11:57,2362,"P16",16031
05-08-23,18:45:26,2363,"P21",9520
05-08-23,19:03:19,2364,"P16",16601
05-08-23,20:01:26,2365,"P21",9987
05-08-23,20:05:40,2366,"P16",9448
05-08-23,20:25:47,2367,"P21",678
05-08-23,20:35:55,2368,"P21",18700
05-08-23,22:28:43,2369,"P22",48169
06-08-23,01:36:04,2370,"P22",18568
06-08-23,04:15:37,2371,"P22",11920
07-08-23,08:50:53,2372,"P22",17111
07-08-23,08:55:25,2373,"P22",17960
07-08-23,09:40:59,2374,"P18",30359
